MSSV,All,Quantity
22520223,All,114.5
22520213,All,114.5
22520348,All,158.0
22520530,All,158.0
22520837,All,158.0
22520459,All,1220.67
22520507,All,1220.67
22520862,All,1220.67
22520521,All,145.0
22520884,All,145.0
22520550,All,44.5
22520967,All,44.5
22520683,All,88.0
22520811,All,88.0
22521465,All,88.0
22521070,All,348.5
22520211,All,348.5
22521463,All,15.0
22521213,All,15.0
22521259,All,15.0
22521027,All,1.33
22520195,All,1.33
22521060,All,1.33
22521560,All,296.33
22521586,All,296.33
22521676,All,296.33
21522924,All,399.0
22520581,All,100.0
